IdOrganizacao;IdParticipante;IdCfop;IdModelo;IdSituacao;DataDoMovimento;TotalDoDocumentoFiscal;Operacao;Emissao;CstICMS;AliquotaIcms;TipoDoFrete;SufixoDoCFOP;NumeroSatEcf;QuantidadeDeDocumentos;TotalDoItem;ValorDesconto;ValorIcms;ValorIpi;ValorPis;ValorCofins;ValorIcmsSt;ValorPisSt;ValorCofinsSt;BaseDeCalculoIcms;BaseDeCalculoIcmsSt;ValorDaReducaoDaBaseDeCalculo;ValorFrete;ValorSeguro;ValorOutrasDespesasAcessorias
Saida;CONSUMIDORFINAL3136702;5102;;;3012018;27;Saida;Propria;0;8,4;Sem cobranca de frete;X.102;25;1;10,5;0;0,88;0;0;0;0;0;0;10,5;0;0;0;0;0
Saida;CONSUMIDORFINAL3136702;;;;3012018;27;Saida;Propria;;0;Sem cobranca de frete;;25;1;16,5;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Saida;CONSUMIDORFINAL3136702;5102;;;5012018;263;Saida;Propria;0;8,4;Sem cobranca de frete;X.102;25;1;250;0;21;0;0;0;0;0;0;250;0;0;0;0;0
Saida;CONSUMIDORFINAL3136702;;;;5012018;263;Saida;Propria;;0;Sem cobranca de frete;;25;1;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Saida;CONSUMIDORFINAL3136702;5102;;;6012018;62;Saida;Propria;0;8,4;Sem cobranca de frete;X.102;25;1;62;0;5,21;0;0;0;0;0;0;62;0;0;0;0;0
Saida;CONSUMIDORFINAL3136702;5102;;;8012018;52;Saida;Propria;0;8,4;Sem cobranca de frete;X.102;25;1;43;0;3,61;0;0;0;0;0;0;43;0;0;0;0;0
Saida;CONSUMIDORFINAL3136702;;;;8012018;52;Saida;Propria;;0;Sem cobranca de frete;;25;1;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Saida;CONSUMIDORFINAL3136702;5102;;;9012018;59,5;Saida;Propria;0;8,4;Sem cobranca de frete;X.102;25;1;59,5;0;5;0;0;0;0;0;0;59,5;0;0;0;0;0
Saida;CONSUMIDORFINAL3136702;;;;10012018;7;Saida;Propria;;0;Sem cobranca de frete;;25;1;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Saida;CONSUMIDORFINAL3136702;5102;;;11012018;241;Saida;Propria;0;8,4;Sem cobranca de frete;X.102;25;1;211;0;17,72;0;0;0;0;0;0;211;0;0;0;0;0
Saida;CONSUMIDORFINAL3136702;;;;11012018;241;Saida;Propria;;0;Sem cobranca de frete;;25;1;30;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Saida;CONSUMIDORFINAL3136702;5102;;;12012018;420,5;Saida;Propria;0;8,4;Sem cobranca de frete;X.102;25;1;414,5;0;34,82;0;0;0;0;0;0;414,5;0;0;0;0;0
