IdOrganizacao;IdParticipante;IdModelo;DataDoMovimento;TotalDoDocumentoFiscal;Operacao;Emissao;TipoDoFrete;NumeroSatEcf;QuantidadeDeDocumentos;TotalDoItem
42591651055479;CONSUMIDORFINAL3136702;2D;23012018;103,5;Saida;Propria;Sem cobranca de frete;25;1;86,5
42591651055479;CONSUMIDORFINAL3136702;2D;23012018;103,5;Saida;Propria;Sem cobranca de frete;25;1;17
42591651055479;CONSUMIDORFINAL3136702;2D;24012018;246,5;Saida;Propria;Sem cobranca de frete;25;1;246,5
42591651055479;CONSUMIDORFINAL3136702;2D;25012018;736;Saida;Propria;Sem cobranca de frete;25;1;709
42591651055479;CONSUMIDORFINAL3136702;2D;25012018;736;Saida;Propria;Sem cobranca de frete;25;1;15
42591651055479;CONSUMIDORFINAL3136702;2D;25012018;736;Saida;Propria;Sem cobranca de frete;25;1;12
42591651055479;CONSUMIDORFINAL3136702;2D;26012018;201;Saida;Propria;Sem cobranca de frete;25;1;185
42591651055479;CONSUMIDORFINAL3136702;2D;26012018;201;Saida;Propria;Sem cobranca de frete;25;1;16
42591651055479;CONSUMIDORFINAL3136702;2D;27012018;146;Saida;Propria;Sem cobranca de frete;25;1;146
42591651055479;CONSUMIDORFINAL3136702;2D;28012018;127;Saida;Propria;Sem cobranca de frete;25;1;119
42591651055479;CONSUMIDORFINAL3136702;2D;28012018;127;Saida;Propria;Sem cobranca de frete;25;1;5
42591651055479;CONSUMIDORFINAL3136702;2D;28012018;127;Saida;Propria;Sem cobranca de frete;25;1;3
42591651055479;CONSUMIDORFINAL3136702;2D;29012018;154;Saida;Propria;Sem cobranca de frete;25;1;146,5
42591651055479;CONSUMIDORFINAL3136702;2D;29012018;154;Saida;Propria;Sem cobranca de frete;25;1;7,5
42591651055479;CONSUMIDORFINAL3136702;2D;31012018;461;Saida;Propria;Sem cobranca de frete;25;1;420,5
42591651055479;CONSUMIDORFINAL3136702;2D;31012018;461;Saida;Propria;Sem cobranca de frete;25;1;37,5
42591651055479;CONSUMIDORFINAL3136702;2D;31012018;461;Saida;Propria;Sem cobranca de frete;25;1;3
42591651055479;CONSUMIDORFINAL3136702;2D;1012018;8112,5;Saida;Propria;Sem cobranca de frete;35;1;3923,2
42591651055479;CONSUMIDORFINAL3136702;2D;1012018;8112,5;Saida;Propria;Sem cobranca de frete;35;1;440,4
42591651055479;CONSUMIDORFINAL3136702;2D;1012018;8112,5;Saida;Propria;Sem cobranca de frete;35;1;3748,9
42591651055479;CONSUMIDORFINAL3136702;2D;2012018;7519,5;Saida;Propria;Sem cobranca de frete;35;1;3814,1
42591651055479;CONSUMIDORFINAL3136702;2D;2012018;7519,5;Saida;Propria;Sem cobranca de frete;35;1;154,5
42591651055479;CONSUMIDORFINAL3136702;2D;2012018;7519,5;Saida;Propria;Sem cobranca de frete;35;1;3550,9
42591651055479;CONSUMIDORFINAL3136702;2D;3012018;7360,5;Saida;Propria;Sem cobranca de frete;35;1;3699,1
42591651055479;CONSUMIDORFINAL3136702;2D;3012018;7360,5;Saida;Propria;Sem cobranca de frete;35;1;86,4
42591651055479;CONSUMIDORFINAL3136702;2D;3012018;7360,5;Saida;Propria;Sem cobranca de frete;35;1;3575
42591651055479;CONSUMIDORFINAL3136702;2D;4012018;5228,2;Saida;Propria;Sem cobranca de frete;35;1;2473,2
42591651055479;CONSUMIDORFINAL3136702;2D;4012018;5228,2;Saida;Propria;Sem cobranca de frete;35;1;130,3
42591651055479;CONSUMIDORFINAL3136702;2D;4012018;5228,2;Saida;Propria;Sem cobranca de frete;35;1;2624,7
42591651055479;CONSUMIDORFINAL3136702;2D;5012018;3951,8;Saida;Propria;Sem cobranca de frete;35;1;1910,8
42591651055479;CONSUMIDORFINAL3136702;2D;5012018;3951,8;Saida;Propria;Sem cobranca de frete;35;1;208,9
42591651055479;CONSUMIDORFINAL3136702;2D;5012018;3951,8;Saida;Propria;Sem cobranca de frete;35;1;1832,1
42591651055479;CONSUMIDORFINAL3136702;2D;6012018;6777,32;Saida;Propria;Sem cobranca de frete;35;1;3303,7
42591651055479;CONSUMIDORFINAL3136702;2D;6012018;6777,32;Saida;Propria;Sem cobranca de frete;35;1;151,22
42591651055479;CONSUMIDORFINAL3136702;2D;6012018;6777,32;Saida;Propria;Sem cobranca de frete;35;1;3322,4
42591651055479;CONSUMIDORFINAL3136702;2D;7012018;6763,36;Saida;Propria;Sem cobranca de frete;35;1;3428,86
42591651055479;CONSUMIDORFINAL3136702;2D;7012018;6763,36;Saida;Propria;Sem cobranca de frete;35;1;155,1
42591651055479;CONSUMIDORFINAL3136702;2D;7012018;6763,36;Saida;Propria;Sem cobranca de frete;35;1;3179,4
42591651055479;CONSUMIDORFINAL3136702;2D;8012018;4405;Saida;Propria;Sem cobranca de frete;35;1;2044,3
42591651055479;CONSUMIDORFINAL3136702;2D;8012018;4405;Saida;Propria;Sem cobranca de frete;35;1;126,3
42591651055479;CONSUMIDORFINAL3136702;2D;8012018;4405;Saida;Propria;Sem cobranca de frete;35;1;2234,4
42591651055479;CONSUMIDORFINAL3136702;2D;9012018;3762,6;Saida;Propria;Sem cobranca de frete;35;1;1784,6
42591651055479;CONSUMIDORFINAL3136702;2D;9012018;3762,6;Saida;Propria;Sem cobranca de frete;35;1;344,4
42591651055479;CONSUMIDORFINAL3136702;2D;9012018;3762,6;Saida;Propria;Sem cobranca de frete;35;1;1633,6
42591651055479;CONSUMIDORFINAL3136702;2D;10012018;5386,2;Saida;Propria;Sem cobranca de frete;35;1;2640,4
42591651055479;CONSUMIDORFINAL3136702;2D;10012018;5386,2;Saida;Propria;Sem cobranca de frete;35;1;420,8
42591651055479;CONSUMIDORFINAL3136702;2D;10012018;5386,2;Saida;Propria;Sem cobranca de frete;35;1;2325
42591651055479;CONSUMIDORFINAL3136702;2D;11012018;6268;Saida;Propria;Sem cobranca de frete;35;1;3156,6
42591651055479;CONSUMIDORFINAL3136702;2D;11012018;6268;Saida;Propria;Sem cobranca de frete;35;1;83,9
42591651055479;CONSUMIDORFINAL3136702;2D;11012018;6268;Saida;Propria;Sem cobranca de frete;35;1;3027,5
42591651055479;CONSUMIDORFINAL3136702;2D;12012018;5534,1;Saida;Propria;Sem cobranca de frete;35;1;2700,2
42591651055479;CONSUMIDORFINAL3136702;2D;12012018;5534,1;Saida;Propria;Sem cobranca de frete;35;1;239,4
42591651055479;CONSUMIDORFINAL3136702;2D;12012018;5534,1;Saida;Propria;Sem cobranca de frete;35;1;2594,5
42591651055479;CONSUMIDORFINAL3136702;2D;13012018;8257;Saida;Propria;Sem cobranca de frete;35;1;4207
42591651055479;CONSUMIDORFINAL3136702;2D;13012018;8257;Saida;Propria;Sem cobranca de frete;35;1;136,7
42591651055479;CONSUMIDORFINAL3136702;2D;13012018;8257;Saida;Propria;Sem cobranca de frete;35;1;3913,3
42591651055479;CONSUMIDORFINAL3136702;2D;14012018;4987,7;Saida;Propria;Sem cobranca de frete;35;1;2514,8
42591651055479;CONSUMIDORFINAL3136702;2D;14012018;4987,7;Saida;Propria;Sem cobranca de frete;35;1;59
42591651055479;CONSUMIDORFINAL3136702;2D;14012018;4987,7;Saida;Propria;Sem cobranca de frete;35;1;2413,9
42591651055479;CONSUMIDORFINAL3136702;2D;15012018;5203,1;Saida;Propria;Sem cobranca de frete;35;1;2726
42591651055479;CONSUMIDORFINAL3136702;2D;15012018;5203,1;Saida;Propria;Sem cobranca de frete;35;1;245,4
42591651055479;CONSUMIDORFINAL3136702;2D;15012018;5203,1;Saida;Propria;Sem cobranca de frete;35;1;2231,7
42591651055479;CONSUMIDORFINAL3136702;2D;16012018;4491,3;Saida;Propria;Sem cobranca de frete;35;1;2306
42591651055479;CONSUMIDORFINAL3136702;2D;16012018;4491,3;Saida;Propria;Sem cobranca de frete;35;1;33,4
42591651055479;CONSUMIDORFINAL3136702;2D;16012018;4491,3;Saida;Propria;Sem cobranca de frete;35;1;2151,9
42591651055479;CONSUMIDORFINAL3136702;2D;17012018;7244,8;Saida;Propria;Sem cobranca de frete;35;1;3573,8
42591651055479;CONSUMIDORFINAL3136702;2D;17012018;7244,8;Saida;Propria;Sem cobranca de frete;35;1;219,7
42591651055479;CONSUMIDORFINAL3136702;2D;17012018;7244,8;Saida;Propria;Sem cobranca de frete;35;1;3451,3
42591651055479;CONSUMIDORFINAL3136702;2D;18012018;5332,86;Saida;Propria;Sem cobranca de frete;35;1;2786,16
42591651055479;CONSUMIDORFINAL3136702;2D;18012018;5332,86;Saida;Propria;Sem cobranca de frete;35;1;160,8
42591651055479;CONSUMIDORFINAL3136702;2D;18012018;5332,86;Saida;Propria;Sem cobranca de frete;35;1;2385,9
42591651055479;CONSUMIDORFINAL3136702;2D;19012018;5915,7;Saida;Propria;Sem cobranca de frete;35;1;3186,3
42591651055479;CONSUMIDORFINAL3136702;2D;19012018;5915,7;Saida;Propria;Sem cobranca de frete;35;1;96,3
42591651055479;CONSUMIDORFINAL3136702;2D;19012018;5915,7;Saida;Propria;Sem cobranca de frete;35;1;2633,1
