organizaca;participante;dataMovimentoC420;dataMovimentoC490;valorTotalNFeC420;valorTotalNFeC490;operacao;emissao;modFrete;satECF;quantidade;valorTotalC420;valorTotalC490;cstICMS;CFOP;sufixoCFOP;aliquotaICMS;baseICMS;valorICMS
42591651055479;CONSUMIDORFINAL3136702;19012018;19012018;7.367,2;7.367,2;Saida;Propria;Sem cobranca de frete;36;1.0;4.063,5;4.063,5;0;5102;X.102;8.4;4063.50;341,33
42591651055479;CONSUMIDORFINAL3136702;19012018;;7.367,2;0;Saida;Propria;Sem cobranca de frete;36;1.0;183;0;;;;0.0;0;0
42591651055479;CONSUMIDORFINAL3136702;19012018;19012018;7.367,2;7.367,2;Saida;Propria;Sem cobranca de frete;36;1.0;3.120,7;3.120,7;60;5405;X.405;0.0;0.00;0
42591651055479;CONSUMIDORFINAL3136702;20012018;20012018;11.236,9;11.236,9;Saida;Propria;Sem cobranca de frete;36;1.0;6.619,3;6.619,3;0;5102;X.102;8.4;6619.30;556,02
42591651055479;CONSUMIDORFINAL3136702;20012018;;11.236,9;0;Saida;Propria;Sem cobranca de frete;36;1.0;250,8;0;;;;0.0;0;0
42591651055479;CONSUMIDORFINAL3136702;20012018;20012018;11.236,9;11.236,9;Saida;Propria;Sem cobranca de frete;36;1.0;4.366,8;4.366,8;60;5405;X.405;0.0;0.00;0
42591651055479;CONSUMIDORFINAL3136702;21012018;21012018;13.017,4;13.017,4;Saida;Propria;Sem cobranca de frete;36;1.0;7.633,5;7.633,5;0;5102;X.102;8.4;7633.50;641,21
42591651055479;CONSUMIDORFINAL3136702;21012018;;13.017,4;0;Saida;Propria;Sem cobranca de frete;36;1.0;310,4;0;;;;0.0;0;0
42591651055479;CONSUMIDORFINAL3136702;21012018;21012018;13.017,4;13.017,4;Saida;Propria;Sem cobranca de frete;36;1.0;5.073,5;5.073,5;60;5405;X.405;0.0;0.00;0
42591651055479;CONSUMIDORFINAL3136702;22012018;22012018;6.337,1;6.337,1;Saida;Propria;Sem cobranca de frete;36;1.0;3.687,6;3.687,6;0;5102;X.102;8.4;3687.60;309,76
42591651055479;CONSUMIDORFINAL3136702;22012018;;6.337,1;0;Saida;Propria;Sem cobranca de frete;36;1.0;119,2;0;;;;0.0;0;0
42591651055479;CONSUMIDORFINAL3136702;22012018;22012018;6.337,1;6.337,1;Saida;Propria;Sem cobranca de frete;36;1.0;2.530,3;2.530,3;60;5405;X.405;0.0;0.00;0
42591651055479;CONSUMIDORFINAL3136702;23012018;23012018;6.591,8;6.591,8;Saida;Propria;Sem cobranca de frete;36;1.0;3.859,6;3.859,6;0;5102;X.102;8.4;3859.60;324,21
42591651055479;CONSUMIDORFINAL3136702;23012018;;6.591,8;0;Saida;Propria;Sem cobranca de frete;36;1.0;215,7;0;;;;0.0;0;0
42591651055479;CONSUMIDORFINAL3136702;23012018;23012018;6.591,8;6.591,8;Saida;Propria;Sem cobranca de frete;36;1.0;2.516,5;2.516,5;60;5405;X.405;0.0;0.00;0
42591651055479;CONSUMIDORFINAL3136702;24012018;24012018;5.964,6;5.964,6;Saida;Propria;Sem cobranca de frete;36;1.0;3.733,2;3.733,2;0;5102;X.102;8.4;3733.20;313,59
42591651055479;CONSUMIDORFINAL3136702;24012018;;5.964,6;0;Saida;Propria;Sem cobranca de frete;36;1.0;66,9;0;;;;0.0;0;0
42591651055479;CONSUMIDORFINAL3136702;24012018;24012018;5.964,6;5.964,6;Saida;Propria;Sem cobranca de frete;36;1.0;2.164,5;2.164,5;60;5405;X.405;0.0;0.00;0
42591651055479;CONSUMIDORFINAL3136702;25012018;25012018;7.254;7.254;Saida;Propria;Sem cobranca de frete;36;1.0;4.273,4;4.273,4;0;5102;X.102;8.4;4273.40;358,97
42591651055479;CONSUMIDORFINAL3136702;25012018;;7.254;0;Saida;Propria;Sem cobranca de frete;36;1.0;104,3;0;;;;0.0;0;0
42591651055479;CONSUMIDORFINAL3136702;25012018;25012018;7.254;7.254;Saida;Propria;Sem cobranca de frete;36;1.0;2.876,3;2.876,3;60;5405;X.405;0.0;0.00;0
42591651055479;CONSUMIDORFINAL3136702;26012018;26012018;8.179,2;8.179,2;Saida;Propria;Sem cobranca de frete;36;1.0;4.394,6;4.394,6;0;5102;X.102;8.4;4394.60;369,15
42591651055479;CONSUMIDORFINAL3136702;26012018;;8.179,2;0;Saida;Propria;Sem cobranca de frete;36;1.0;402,9;0;;;;0.0;0;0
42591651055479;CONSUMIDORFINAL3136702;26012018;26012018;8.179,2;8.179,2;Saida;Propria;Sem cobranca de frete;36;1.0;3.381,7;3.381,7;60;5405;X.405;0.0;0.00;0
42591651055479;CONSUMIDORFINAL3136702;27012018;27012018;11.656,8;11.656,8;Saida;Propria;Sem cobranca de frete;36;1.0;6.846,4;6.846,4;0;5102;X.102;8.4;6846.40;575,1
42591651055479;CONSUMIDORFINAL3136702;27012018;;11.656,8;0;Saida;Propria;Sem cobranca de frete;36;1.0;176,3;0;;;;0.0;0;0
42591651055479;CONSUMIDORFINAL3136702;27012018;27012018;11.656,8;11.656,8;Saida;Propria;Sem cobranca de frete;36;1.0;4.634,1;4.634,1;60;5405;X.405;0.0;0.00;0
42591651055479;CONSUMIDORFINAL3136702;28012018;28012018;12.830,7;12.830,7;Saida;Propria;Sem cobranca de frete;36;1.0;7.236,2;7.236,2;0;5102;X.102;8.4;7236.20;607,84
42591651055479;CONSUMIDORFINAL3136702;28012018;;12.830,7;0;Saida;Propria;Sem cobranca de frete;36;1.0;393,4;0;;;;0.0;0;0
42591651055479;CONSUMIDORFINAL3136702;28012018;28012018;12.830,7;12.830,7;Saida;Propria;Sem cobranca de frete;36;1.0;5.201,1;5.201,1;60;5405;X.405;0.0;0.00;0
42591651055479;CONSUMIDORFINAL3136702;29012018;29012018;6.153,3;6.153,3;Saida;Propria;Sem cobranca de frete;36;1.0;3.272,3;3.272,3;0;5102;X.102;8.4;3272.30;274,87
42591651055479;CONSUMIDORFINAL3136702;29012018;;6.153,3;0;Saida;Propria;Sem cobranca de frete;36;1.0;262,5;0;;;;0.0;0;0
42591651055479;CONSUMIDORFINAL3136702;29012018;29012018;6.153,3;6.153,3;Saida;Propria;Sem cobranca de frete;36;1.0;2.618,5;2.618,5;60;5405;X.405;0.0;0.00;0
42591651055479;CONSUMIDORFINAL3136702;30012018;30012018;6.719,7;6.719,7;Saida;Propria;Sem cobranca de frete;36;1.0;3.894,4;3.894,4;0;5102;X.102;8.4;3894.40;327,13
42591651055479;CONSUMIDORFINAL3136702;30012018;;6.719,7;0;Saida;Propria;Sem cobranca de frete;36;1.0;98,8;0;;;;0.0;0;0
42591651055479;CONSUMIDORFINAL3136702;30012018;30012018;6.719,7;6.719,7;Saida;Propria;Sem cobranca de frete;36;1.0;2.726,5;2.726,5;60;5405;X.405;0.0;0.00;0
42591651055479;CONSUMIDORFINAL3136702;31012018;31012018;7.197,6;7.197,6;Saida;Propria;Sem cobranca de frete;36;1.0;4.450,3;4.450,3;0;5102;X.102;8.4;4450.30;373,83
42591651055479;CONSUMIDORFINAL3136702;31012018;;7.197,6;0;Saida;Propria;Sem cobranca de frete;36;1.0;119,8;0;;;;0.0;0;0
42591651055479;CONSUMIDORFINAL3136702;31012018;31012018;7.197,6;7.197,6;Saida;Propria;Sem cobranca de frete;36;1.0;2.627,5;2.627,5;60;5405;X.405;0.0;0.00;0
42591651055479;CONSUMIDORFINAL3136702;1012018;1012018;249;249;Saida;Propria;Sem cobranca de frete;25;1.0;227;227;0;5102;X.102;8.4;227.00;19,07
42591651055479;CONSUMIDORFINAL3136702;1012018;;249;0;Saida;Propria;Sem cobranca de frete;25;1.0;22;0;;;;0.0;0;0
42591651055479;CONSUMIDORFINAL3136702;3012018;3012018;27;27;Saida;Propria;Sem cobranca de frete;25;1.0;10,5;10,5;0;5102;X.102;8.4;10.50;0,88
42591651055479;CONSUMIDORFINAL3136702;3012018;;27;0;Saida;Propria;Sem cobranca de frete;25;1.0;16,5;0;;;;0.0;0;0
