IdOrganizacao;IdParticipante;IdCfop;IdModelo;DataDoMovimento;TotalDoDocumentoFiscal;Operacao;Emissao;CstICMS;AliquotaIcms;TipoDoFrete;SufixoDoCFOP;NumeroSatEcf;QuantidadeDeDocumentos;TotalDoItem;ValorIcms;BaseDeCalculoIcms
42591651055479;CONSUMIDORFINAL3136702;5405;2D;17012018;222,3;Saida;Propria;60;0;Sem cobranca de frete;X.405;34;1;84,5;0;0
42591651055479;CONSUMIDORFINAL3136702;5405;2D;18012018;2390,1;Saida;Propria;60;0;Sem cobranca de frete;X.405;34;1;1191,4;0;0
42591651055479;CONSUMIDORFINAL3136702;5102;2D;18012018;2390,1;Saida;Propria;0;8,4;Sem cobranca de frete;X.102;34;1;1108;93,07;1108
42591651055479;CONSUMIDORFINAL3136702;5405;2D;19012018;1176,3;Saida;Propria;60;0;Sem cobranca de frete;X.405;34;1;515,1;0;0
42591651055479;CONSUMIDORFINAL3136702;5102;2D;19012018;1176,3;Saida;Propria;0;8,4;Sem cobranca de frete;X.102;34;1;607,9;51,06;607,9
42591651055479;CONSUMIDORFINAL3136702;5405;2D;20012018;5766,6;Saida;Propria;60;0;Sem cobranca de frete;X.405;34;1;2929;0;0
42591651055479;CONSUMIDORFINAL3136702;5102;2D;20012018;5766,6;Saida;Propria;0;8,4;Sem cobranca de frete;X.102;34;1;2768,7;232,57;2768,7
42591651055479;CONSUMIDORFINAL3136702;5405;2D;21012018;3658,1;Saida;Propria;60;0;Sem cobranca de frete;X.405;34;1;1539,6;0;0
42591651055479;CONSUMIDORFINAL3136702;5102;2D;21012018;3658,1;Saida;Propria;0;8,4;Sem cobranca de frete;X.102;34;1;2063,6;173,34;2063,6
42591651055479;CONSUMIDORFINAL3136702;5102;2D;22012018;900,5;Saida;Propria;0;8,4;Sem cobranca de frete;X.102;34;1;523,6;43,98;523,6
42591651055479;CONSUMIDORFINAL3136702;5405;2D;22012018;900,5;Saida;Propria;60;0;Sem cobranca de frete;X.405;34;1;338,1;0;0
42591651055479;CONSUMIDORFINAL3136702;5102;2D;23012018;4289,1;Saida;Propria;0;8,4;Sem cobranca de frete;X.102;34;1;2093;175,81;2093
42591651055479;CONSUMIDORFINAL3136702;5405;2D;23012018;4289,1;Saida;Propria;60;0;Sem cobranca de frete;X.405;34;1;1820,9;0;0
42591651055479;CONSUMIDORFINAL3136702;5102;2D;24012018;7601,6;Saida;Propria;0;8,4;Sem cobranca de frete;X.102;34;1;3885,9;326,42;3885,9
42591651055479;CONSUMIDORFINAL3136702;5405;2D;24012018;7601,6;Saida;Propria;60;0;Sem cobranca de frete;X.405;34;1;3436,3;0;0
42591651055479;CONSUMIDORFINAL3136702;5102;2D;25012018;1353,5;Saida;Propria;0;8,4;Sem cobranca de frete;X.102;34;1;749,6;62,97;749,6
42591651055479;CONSUMIDORFINAL3136702;5405;2D;25012018;1353,5;Saida;Propria;60;0;Sem cobranca de frete;X.405;34;1;603,9;0;0
42591651055479;CONSUMIDORFINAL3136702;5405;2D;27012018;3418,9;Saida;Propria;60;0;Sem cobranca de frete;X.405;34;1;1684,3;0;0
42591651055479;CONSUMIDORFINAL3136702;5102;2D;27012018;3418,9;Saida;Propria;0;8,4;Sem cobranca de frete;X.102;34;1;1666,8;140,01;1666,8
42591651055479;CONSUMIDORFINAL3136702;5405;2D;28012018;3097,9;Saida;Propria;60;0;Sem cobranca de frete;X.405;34;1;1609,8;0;0
42591651055479;CONSUMIDORFINAL3136702;5102;2D;28012018;3097,9;Saida;Propria;0;8,4;Sem cobranca de frete;X.102;34;1;1372,7;115,31;1372,7
42591651055479;CONSUMIDORFINAL3136702;5405;2D;29012018;2213,9;Saida;Propria;60;0;Sem cobranca de frete;X.405;34;1;1083,5;0;0
42591651055479;CONSUMIDORFINAL3136702;5102;2D;29012018;2213,9;Saida;Propria;0;8,4;Sem cobranca de frete;X.102;34;1;1056,5;88,75;1056,5
42591651055479;CONSUMIDORFINAL3136702;5405;2D;30012018;5254,9;Saida;Propria;60;0;Sem cobranca de frete;X.405;34;1;2423,6;0;0
42591651055479;CONSUMIDORFINAL3136702;5102;2D;30012018;5254,9;Saida;Propria;0;8,4;Sem cobranca de frete;X.102;34;1;2744;230,5;2744
42591651055479;CONSUMIDORFINAL3136702;5102;2D;1012018;7595,3;Saida;Propria;0;8,4;Sem cobranca de frete;X.102;33;1;3723,1;312,74;3723,1
42591651055479;CONSUMIDORFINAL3136702;5405;2D;1012018;7595,3;Saida;Propria;60;0;Sem cobranca de frete;X.405;33;1;3823,8;0;0
42591651055479;CONSUMIDORFINAL3136702;5102;2D;2012018;5377,4;Saida;Propria;0;8,4;Sem cobranca de frete;X.102;33;1;2830,6;237,77;2830,6
42591651055479;CONSUMIDORFINAL3136702;5405;2D;2012018;5377,4;Saida;Propria;60;0;Sem cobranca de frete;X.405;33;1;2397,4;0;0
42591651055479;CONSUMIDORFINAL3136702;5405;2D;3012018;5641,9;Saida;Propria;60;0;Sem cobranca de frete;X.405;33;1;2883,9;0;0
42591651055479;CONSUMIDORFINAL3136702;5102;2D;3012018;5641,9;Saida;Propria;0;8,4;Sem cobranca de frete;X.102;33;1;2494;209,5;2494
42591651055479;CONSUMIDORFINAL3136702;5102;2D;4012018;3106,9;Saida;Propria;0;8,4;Sem cobranca de frete;X.102;33;1;1436,4;120,66;1436,4
42591651055479;CONSUMIDORFINAL3136702;5405;2D;4012018;3106,9;Saida;Propria;60;0;Sem cobranca de frete;X.405;33;1;1382,1;0;0
42591651055479;CONSUMIDORFINAL3136702;5405;2D;5012018;5955,7;Saida;Propria;60;0;Sem cobranca de frete;X.405;33;1;2660,3;0;0
42591651055479;CONSUMIDORFINAL3136702;5102;2D;5012018;5955,7;Saida;Propria;0;8,4;Sem cobranca de frete;X.102;33;1;3135,8;263,41;3135,8
42591651055479;CONSUMIDORFINAL3136702;5405;2D;6012018;7161,4;Saida;Propria;60;0;Sem cobranca de frete;X.405;33;1;3461,8;0;0
42591651055479;CONSUMIDORFINAL3136702;5102;2D;6012018;7161,4;Saida;Propria;0;8,4;Sem cobranca de frete;X.102;33;1;3574,6;300,27;3574,6
42591651055479;CONSUMIDORFINAL3136702;5102;2D;7012018;10767,1;Saida;Propria;0;8,4;Sem cobranca de frete;X.102;33;1;5197;436,55;5197
42591651055479;CONSUMIDORFINAL3136702;5405;2D;7012018;10767,1;Saida;Propria;60;0;Sem cobranca de frete;X.405;33;1;5080,5;0;0
